Data Provided By MyFoodData.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click ""File"" then ""Download as"" or ""Select All and Copy Paste"" to get the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you have a google account click ""File"" then ""Make a Copy"" to edit your own copy of the data. ",,,,"All Serving Sizes are 100 Grams. See the ""Read Me"" tab for more information. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Name,Food Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg),Added Sugar (g),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,Trans Fatty Acids (g),Soluble Fiber (g),Insoluble Fiber (g),Sucrose (g),Glucose (Dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Galactose (g),Starch (g),Total sugar alcohols (g),"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)",Manganese (mg),"Selenium, Se (mcg)","Fluoride, F (mcg)",Molybdenum (mcg),Chlorine (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Vitamin B6 (mg),Biotin (B7) (mcg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Folate DFE (mcg),Choline (mg),Betaine (mg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),Vitamin D2 (ergocalciferol) (mcg),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (IU) (IU),Vitamin K (mcg),Dihydrophylloquinone (mcg),Menaquinone-4 (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)","18:3 n-3 c,c,c (ALA) (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Tryptophan (mg),Threonine (mg),Isoleucine (mg),Leucine (mg),Lysine (mg),Methionine (mg),Cystine (mg),Phenylalanine (mg),Tyrosine (mg),Valine (mg),Arginine (mg),Histidine (mg),Alanine (mg),Aspartic acid (mg),Glutamic acid (mg),Glycine (mg),Proline (mg),Serine (mg),Hydroxyproline (mg),Alcohol (g),Caffeine (mg),Theobromine (mg),Serving Weight 1 (g),Serving Description 1 (g),Serving Weight 2 (g),Serving Description 2 (g),Serving Weight 3 (g),Serving Description 3 (g),Serving Weight 4 (g),Serving Description 4 (g),Serving Weight 5 (g),Serving Description 5 (g),Serving Weight 6 (g),Serving Description 6 (g),Serving Weight 7 (g),Serving Description 7 (g),Serving Weight 8 (g),Serving Description 8 (g),Serving Weight 9 (g),Serving Description 9 (g),200 Calorie Weight (g)
168728,Beef Top Sirloin Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Raw,Meats,214,14.28,19.92,0,0,0,78,5.763,25,1.46,309,20,0,0,0,1.11,NULL,0.37,NULL,0,64.87,171,350,9.087,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,181,51,3.57,0.066,0.013,21.8,NULL,NULL,NULL,0.053,0.084,6.425,0.582,0.536,NULL,11,0,11,11,83.2,12.2,0,0,0,0,0,NULL,NULL,NULL,1.5,NULL,NULL,6115,543,NULL,0,0,0,127,774,881,1541,1637,504,250,765,617,961,1253,618,1178,1764,2908,1179,923,763,203,0,0,0,28.4,1 oz,453.6,1 lb,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,93.458
168729,Beef Top Sirloin Steak Separable Lean And Fat Trimmed To 1/8 Inch Fat Choice Cooked Broiled,Meats,257,15.75,26.8,0,0,0,96,6.202,18,1.81,327,22,0,0,0,1.77,NULL,0.46,NULL,0,56.81,140,407,12.857,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,201,54,4.81,0.088,0.009,29,NULL,NULL,NULL,0.067,0.118,7.269,0.528,0.534,NULL,8,0,8,8,102.1,13.4,0,0,0,0,0,NULL,NULL,NULL,1.6,NULL,NULL,6564,583,NULL,0,0,0,184,1119,1274,2227,2366,729,361,1106,892,1389,1811,894,1702,2550,4203,1705,1335,1103,294,0,0,0,85,3 oz,306,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,77.821
168730,Beef Chuck Clod Roast Separable Lean Only Trimmed To 0 Inch Fat Select Cooked Roasted,Meats,172,5.82,28.09,0,0,0,90,2.15,7,3.19,384,22,0,0,0,3.22,0.1,0.17,NULL,0,64.21,30,260,13.206,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,222,74,6.39,0.1,NULL,30,NULL,NULL,NULL,0.094,0.264,3.696,NULL,0.291,NULL,10,0,10,10,107,NULL,0,0,0,0,0,NULL,0.1,5,NULL,NULL,NULL,2920,340,NULL,NULL,NULL,NULL,303,1298,1451,2483,2636,797,302,1218,1030,1519,1893,906,1698,2800,4503,1335,1188,1127,130,0,0,0,85,3 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,116.279
168731,Beef Shoulder Steak Boneless Separable Lean Only Trimmed To 0 Inch Fat Choice Cooked Grilled,Meats,178,6.25,28.54,0,0,0,81,2.596,12,2.95,372,26,4,1,0,3.3,0.1,0.12,NULL,0,64.21,17,344,14.509,0.288,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,249,68,8.03,0.107,0.013,32.6,NULL,NULL,NULL,0.08,0.218,5.613,0.74,0.681,NULL,7,0,7,7,86,14.8,1,0,0,0,0,NULL,0.1,5,1.6,NULL,NULL,3249,407,12,5,0,0,327,1292,1249,2362,2567,832,304,1112,1012,1320,1919,941,1649,2627,4647,1271,1174,1121,144,0,0,0,85,3 oz ( 1 serving ),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,112.36
168732,Beef Shoulder Steak Boneless Separable Lean Only Trimmed To 0 Inch Fat Select Cooked Grilled,Meats,169,5.17,28.71,0,0,0,83,2.192,12,2.94,371,25,6,2,0,3.62,0.1,0.07,NULL,0,65.24,13,282,14.639,0.349,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,249,68,8.43,0.103,0.014,31.2,NULL,NULL,NULL,0.1,0.235,5.435,0.84,0.674,NULL,7,0,7,7,91.5,13.7,2,0,0,0,0,NULL,0.1,4,1.6,NULL,NULL,2603,306,9,3,0,1,329,1300,1257,2376,2583,837,306,1119,1018,1328,1931,947,1659,2643,4675,1279,1181,1128,140,0,0,0,85,3 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,118.343
168733,Beef Flank Steak Separable Lean And Fat Trimmed To 0 Inch Fat All Grades Cooked Broiled,Meats,192,8.23,27.66,0,0,0,79,3.395,20,1.74,339,23,0,0,0,1.63,NULL,0.38,NULL,0,64.17,92,197,13.306,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,210,56,4.9,0.082,0.009,29.4,NULL,NULL,NULL,0.075,0.133,7.363,0.545,0.579,NULL,9,0,9,9,105.4,13.8,0,0,0,0,0,NULL,NULL,NULL,1.4,NULL,NULL,3317,322,NULL,0,0,0,182,1105,1259,2201,2338,720,357,1093,882,1372,1789,883,1682,2520,4153,1684,1319,1090,291,0,0,0,85,3 oz,383,1 steak (yield from 475 g raw meat),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,104.167
168734,Beef Bottom Sirloin Tri-Tip Roast Separable Lean And Fat Trimmed To 0 Inch Fat All Grades Raw,Meats,165,8.55,20.64,0,0,0,66,3.14,25,1.49,317,21,0,0,0,1.06,NULL,0.32,NULL,0,70.08,52,303,9.541,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,189,52,3.58,0.07,0.011,23.1,NULL,NULL,NULL,0.064,0.1,6.087,0.594,0.563,NULL,11,0,11,11,86.2,12.7,0,0,0,0,0,NULL,NULL,NULL,1.3,NULL,NULL,4246,394,NULL,0,0,0,136,825,939,1642,1745,538,266,815,658,1024,1335,659,1255,1880,3099,1257,984,813,217,0,0,0,85,3 oz,261,1 roast,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,121.212
168735,Beef Bottom Sirloin Tri-Tip Roast Separable Lean And Fat Trimmed To 0 Inch Fat Choice Cooked Roasted,Meats,221,12.36,25.66,0,0,0,85,4.546,17,1.7,308,20,0,0,0,1.69,NULL,0.41,NULL,0,61.82,57,304,12.321,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,189,50,4.52,0.083,0.009,27.3,NULL,NULL,NULL,0.064,0.113,6.959,0.505,0.511,NULL,8,0,8,8,97.7,12.8,0,0,0,0,0,NULL,NULL,NULL,1.4,NULL,NULL,6121,406,NULL,0,0,0,169,1025,1167,2041,2169,668,331,1014,818,1273,1659,819,1560,2337,3852,1562,1223,1011,270,0,0,0,85,3 oz,591,1 roast (yield from 714 g raw meat),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,90.498
168736,Beef Bottom Sirloin Tri-Tip Roast Separable Lean And Fat Trimmed To 0 Inch Fat Choice Raw,Meats,174,9.51,20.64,0,0,0,68,3.493,25,1.47,313,21,0,0,0,1.15,NULL,0.33,NULL,0,69.37,58,337,9.403,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,183,51,3.61,0.067,0.013,22.1,NULL,NULL,NULL,0.055,0.087,6.658,0.603,0.556,NULL,11,0,11,11,86.2,12.7,0,0,0,0,0,NULL,NULL,NULL,1.3,NULL,NULL,4724,438,NULL,0,0,0,136,825,939,1642,1745,538,266,815,658,1024,1335,659,1255,1880,3099,1257,984,813,217,0,0,0,85,3 oz,271,1 roast,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,114.943
168737,Beef Bottom Sirloin Tri-Tip Roast Separable Lean And Fat Trimmed To 0 Inch Fat Select Cooked Roasted,Meats,201,9.78,26.44,0,0,0,81,3.595,21,1.62,338,23,0,0,0,1.37,NULL,0.39,NULL,0,63.45,45,241,12.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,212,56,4.82,0.073,0.009,28.7,NULL,NULL,NULL,0.077,0.138,6.906,0.522,0.579,NULL,8,0,8,8,100.7,13.2,0,0,0,0,0,NULL,NULL,NULL,1.4,NULL,NULL,4841,321,NULL,0,0,0,174,1056,1203,2103,2234,688,341,1044,842,1312,1710,844,1607,2408,3969,1610,1260,1041,278,0,0,0,85,3 oz,547,1 roast (yield from 666 g raw meat),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,99.502
168738,Beef Chuck Top Blade Separable Lean Only Trimmed To 0 Inch Fat Choice Cooked Broiled,Meats,217,11.65,26.11,0,0,0,93,3.62,7,2.81,304,24,0,0,0,3.42,NULL,0.18,NULL,0,61.63,50,330,13.723,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,218,68,8.92,0.113,NULL,20,NULL,NULL,NULL,0.112,0.232,3.665,NULL,0.324,NULL,8,0,8,8,99.4,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,5730,410,NULL,NULL,NULL,NULL,282,1207,1348,2308,2450,741,280,1132,957,1412,1759,842,1578,2603,4185,1241,1104,1048,121,0,0,0,85,3 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,92.166
168739,Beef Chuck Top Blade Separable Lean Only Trimmed To 0 Inch Fat Select Cooked Broiled,Meats,184,8,26.16,0,0,0,94,2.71,7,2.8,304,24,0,0,0,3.78,NULL,0.16,NULL,0,64.32,20,250,13.711,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,217,68,8.92,0.112,NULL,20,NULL,NULL,NULL,0.141,0.228,4.049,NULL,0.478,NULL,9,0,9,9,99.6,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,3330,310,NULL,NULL,NULL,NULL,282,1209,1351,2313,2455,742,281,1134,959,1415,1763,843,1581,2608,4193,1244,1106,1050,121,0,0,0,85,3 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,108.696
168740,Beef Round Top Round Steak Boneless Separable Lean And Fat Trimmed To 0 Inch Fat Choice Cooked Grilled,Meats,170,4.62,30.12,0,0,0,86,1.769,18,3.26,426,17,15,4,0,2.3,0,0.34,NULL,0,64.09,22,259,16.374,0.212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,305,78,5.22,0.066,0.006,30.3,NULL,NULL,NULL,0.088,0.313,9.215,0.485,0.887,NULL,5,0,5,5,90.5,15.6,4,0,0,0,0,NULL,0,1,1.5,NULL,NULL,2084,307,7,2,12,1,369,1541,1527,2807,3108,886,331,1311,1216,1642,2219,1210,2032,3175,5347,1621,1465,1343,225,0,0,0,85,3 oz,284,1 steak (yield from 396 g raw meat),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,117.647
168741,Beef Round Top Round Steak Boneless Separable Lean And Fat Trimmed To 0 Inch Fat Select Cooked Grilled,Meats,162,3.85,29.7,0,0,0,88,1.502,19,3.25,436,16,16,5,0,2.25,0,0.29,NULL,0,65.58,22,251,15.934,0.212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,304,76,4.89,0.066,0.004,31.4,NULL,NULL,NULL,0.088,0.345,8.514,0.513,0.865,NULL,5,0,5,5,88.7,15,5,0,0,0,0,NULL,0,1,1.4,NULL,NULL,1646,312,5,3,12,2,364,1558,1539,2874,3208,896,340,1324,1244,1645,2269,1269,2042,3244,5417,1606,1497,1375,222,0,0,0,85,3 oz,269,1 steak (yield from 368 g meat),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,123.457
168742,Beef Chuck Eye Roast Boneless Americas Beef Roast Separable Lean Only Trimmed To 0 Inch Fat Select Raw,Meats,133,5.71,20.52,0,0,0,74,1.61,19,2.21,393,21,7,2,0,2.98,0.1,0.15,NULL,0,72.96,14,337,8.363,0.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200,86,8.29,0.071,0.011,24.3,NULL,NULL,NULL,0.07,0.17,4.83,0.72,0.435,NULL,3,0,3,3,69.9,26,2,0,0,0,0,NULL,0.1,3,1.5,NULL,NULL,3670,370,13,1,0,0,235,929,899,1699,1846,599,218,800,728,949,1380,677,1186,1889,3342,914,845,806,104,0,0,0,85,3 oz,1327,1 roast,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,150.376
168743,Beef Brisket Flat Half Boneless Separable Lean And Fat Trimmed To 0 Inch Fat Choice Raw,Meats,169,9.86,20.15,0,0,0,67,3.704,13,1.98,349,22,12,4,0,1.68,0.1,0.16,NULL,0,69.47,11,384,9.606,0.503,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,212,79,4.93,0.069,0.002,21.6,NULL,NULL,NULL,0.07,0.154,6.115,0.647,0.586,NULL,3,0,3,3,61.3,13.4,4,0,0,0,0,NULL,0.1,4,1.5,NULL,NULL,4772,398,9,0,2,0,227,887,857,1621,1762,572,212,767,695,911,1327,653,1149,1807,3187,919,828,774,138,0,0,0,85,3 oz,1780,1 piece,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,118.343
168744,Beef Plate Inside Skirt Steak Separable Lean Only Trimmed To 0 Inch Fat All Grades Cooked Broiled,Meats,205,10.06,26.66,0,0,0,85,3.85,11,2.83,295,24,0,0,0,3.8,NULL,0.11,NULL,0,61.77,30,300,14.797,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,236,76,7.43,0.095,NULL,19.9,NULL,NULL,NULL,0.092,0.194,3.82,NULL,0.327,NULL,7,0,7,7,101.5,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,5220,360,NULL,NULL,NULL,NULL,288,1232,1377,2357,2502,756,286,1156,977,1442,1796,859,1611,2658,4274,1267,1127,1070,123,0,0,0,85,3 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,97.561
168745,Beef Plate Outside Skirt Steak Separable Lean Only Trimmed To 0 Inch Fat All Grades Cooked Broiled,Meats,233,14.37,24.18,0,0,0,91,5.97,10,2.66,393,25,0,0,0,4.3,NULL,0.11,NULL,0,59.17,60,490,10.945,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,221,94,5.72,0.089,NULL,18.7,NULL,NULL,NULL,0.119,0.195,4.331,NULL,0.495,NULL,8,0,8,8,92.1,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,7380,600,NULL,NULL,NULL,NULL,261,1118,1249,2138,2269,686,260,1048,886,1308,1629,779,1462,2410,3876,1150,1022,970,112,0,0,0,85,3 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,85.837
168746,Beer,Beverages,43,0,0.46,3.55,0,0,0,0,4,0.02,27,6,0,0,0,0.02,0,0,NULL,3.55,91.96,0,0,-0.036,0,NULL,NULL,0,0,0,0,0,0,0,NULL,14,4,0.01,0.005,0.008,0.6,44.2,NULL,NULL,0.005,0.025,0.513,0.041,0.046,NULL,6,0,6,6,10.1,NULL,0,0,0,0,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,47,13,35,0,NULL,3.9,0,0,29.7,1 fl oz,356,1 can,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,465.116
168747,Budweiser Beer,Beverages,41,0,0.36,2.97,NULL,0,0,NULL,4,0,33,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.97,92.77,NULL,NULL,-0.275,0,NULL,NULL,NULL,0,0,NULL,0,NULL,0,NULL,13,3,0,0.003,0.009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.9,NULL,NULL,29.8,1 fl oz,357,12 fl oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,487.805
168748,Alcoholic Beverage Beer Light Budweiser Select,Beverages,28,0,0.2,0.87,NULL,0,0,NULL,4,0,26,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.87,95.3,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,0,NULL,0,NULL,NULL,3,0.01,0.001,0.007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.4,NULL,NULL,29.5,1 fl oz,355,12 fl oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,714.286
168749,Light Beer,Beverages,29,0,0.24,1.64,0.09,0,0,0,4,0.03,21,5,0,0,0,0.02,0,0,NULL,1.64,94.88,0,0,-0.065,0,NULL,NULL,0,0.09,0,0,0,0,0,NULL,12,4,0.01,0.006,0.006,0.4,45.3,NULL,NULL,0.005,0.015,0.391,0.03,0.034,NULL,6,0,6,6,8.8,NULL,0,0,0,0,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,39,11,29,0,NULL,3.1,0,0,29.5,1 fl oz,354,1 can or bottle (12 fl oz),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,689.655
168750,Alcoholic Beverage Pina Colada Canned,Beverages,237,7.6,0.6,27.6,NULL,0.1,0,6.571,1,0.03,83,6,24,1,1.5,0,NULL,NULL,NULL,27.5,54.9,NULL,137,-0.296,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,71,0.2,0.087,0.319,0.7,NULL,NULL,NULL,0.017,0.005,0.104,0.054,0.017,NULL,6,0,6,6,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,442,137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,32.6,1 fl oz,222,"1 can (6.8 fl oz, 200 ml)",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,84.388
168751,Sweetened Vanilla Almond Milk,Beverages,38,1.04,0.42,6.59,6.25,0.4,0,0,188,0.3,50,7,208,63,0,1.25,1,2.81,NULL,6.19,91.8,0,208,-3.181,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,63,0.63,0.017,0.033,0.1,NULL,NULL,NULL,0.015,0.177,0.075,0.009,0.003,NULL,1,0,1,1,1,NULL,63,0,0,0,0,NULL,NULL,42,0,NULL,NULL,625,208,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,240,8 fl oz,240,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,526.316
168752,Alcoholic Beverage Pina Colada Prepared-From-Recipe,Beverages,174,1.88,0.42,22.66,22.33,0.3,0,1.636,8,0.21,71,8,2,0,4.9,0,NULL,0.02,NULL,22.36,64.99,5,27,-1.348,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,6,0.13,0.079,0.528,0.7,NULL,NULL,NULL,0.029,0.017,0.118,0.061,0.045,NULL,12,0,12,12,NULL,NULL,0,1,0,0,0,NULL,NULL,NULL,0.1,NULL,NULL,82,33,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.9,0,0,31.4,1 fl oz,141,1 cocktail (4.5 fl oz),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,114.943
168753,Tequila Sunrise,Beverages,110,0.1,0.3,11.3,NULL,0,0,NULL,0,0.02,10,7,97,5,19.3,0,NULL,NULL,NULL,11.3,78.8,NULL,NULL,0.122,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,57,0.6,0.042,0.014,0,NULL,NULL,NULL,0.038,0.016,0.19,0.088,0.05,NULL,11,0,11,11,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.4,NULL,NULL,31.1,1 fl oz,211,"1 can (6.8 fl oz, 200 ml)",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,181.818
168754,Milk Chocolate With Almonds,Sweets,526,34.4,9,53.4,43.9,6.2,19,17.701,224,1.63,444,90,175,52,0.2,0.67,0,3.14,NULL,47.2,1.5,82,2937,-0.469,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,264,74,1.34,0.422,0.624,4,NULL,NULL,NULL,0.06,0.435,0.742,0.455,0.045,NULL,14,0,13,13,46.8,NULL,52,0,0,0,6,NULL,NULL,0,5.1,NULL,NULL,11960,3019,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,18,183,41,1 bar (1.45 oz),44,1 bar (1.55 oz),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,38.023
168755,Milk Chocolate With Rice Cereal,Sweets,511,29.37,7.64,59.67,51.06,3.3,23,15.89,187,2.65,370,62,217,65,0.6,0.8,0,0.5,NULL,56.37,1.52,44,660,-0.466,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,207,86,2.29,0.488,0.477,4.6,5.1,NULL,NULL,0.131,0.323,0.672,0.471,0.055,NULL,18,6,11,21,45.8,NULL,65,0,0,0,6,NULL,NULL,0,5.7,0,NULL,8640,780,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,20,203,40,1 bar (1.4 oz),45,1 bar (1.45 oz),47,1 bar (1.65 oz),10,"1 bar, miniature",44,1 bar (1.55 oz),NULL,,NULL,,NULL,NULL,NULL,NULL,39.139
168756,Mars Snackfood Us Milky Way Bar,Sweets,456,17.23,4.01,71.17,59.69,1,9,12.016,115,0.49,124,20,110,31,0.7,0.18,0.4,0.89,NULL,70.17,6.3,29,231,-0.194,0.206,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,167,0.69,0.147,0.147,2,NULL,NULL,NULL,0.046,0.103,0.154,0.155,0.014,NULL,4,0,4,4,16.5,NULL,31,4,0,0,1,NULL,NULL,16,3.6,NULL,NULL,2230,260,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,6,64,58,1 serving 2.05 oz bar,17,1 bar fun size,8.2,1 piece miniature 5 pieces = serving,103,1 bar king size,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,43.86
